epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.0791,1.30995,2.13169,1.45897,0.43324,0.45377,0.39714,0.22225,1.4675,1.94541,1.58032,0.000474235,0.000474235,0.000474235
2,91.8501,1.32705,1.70376,1.45005,0.59345,0.54419,0.55103,0.31297,1.47602,1.58998,1.60326,0.000938805,0.000938805,0.000938805
3,135.864,1.31616,1.59323,1.4666,0.56203,0.55186,0.54763,0.3294,1.39148,1.52685,1.53983,0.00139159,0.00139159,0.00139159
4,179.772,1.32133,1.51801,1.44939,0.54305,0.50835,0.51429,0.30952,1.40453,1.65767,1.54546,0.00137595,0.00137595,0.00137595
5,223.56,1.27036,1.42714,1.41807,0.62081,0.57624,0.62073,0.38297,1.38634,1.30777,1.51678,0.00135826,0.00135826,0.00135826
6,267.507,1.26268,1.4184,1.42333,0.57847,0.58679,0.57599,0.35687,1.37773,1.33888,1.4919,0.00134058,0.00134058,0.00134058
7,311.405,1.23624,1.35019,1.4004,0.58211,0.57886,0.57787,0.35556,1.45602,1.34777,1.5609,0.0013229,0.0013229,0.0013229
8,355.278,1.22739,1.3336,1.39095,0.60303,0.58644,0.63934,0.41089,1.34094,1.25019,1.4675,0.00130521,0.00130521,0.00130521
9,399.34,1.21879,1.29519,1.38434,0.63809,0.57924,0.61889,0.41232,1.32861,1.24793,1.48555,0.00128753,0.00128753,0.00128753
10,443.397,1.20242,1.29827,1.37504,0.62021,0.5647,0.61045,0.39175,1.27312,1.32111,1.43825,0.00126985,0.00126985,0.00126985
11,487.426,1.18983,1.29115,1.36848,0.6124,0.5951,0.60385,0.40038,1.27803,1.25411,1.44704,0.00125216,0.00125216,0.00125216
12,531.424,1.18016,1.2647,1.36189,0.63943,0.59676,0.63022,0.42139,1.27229,1.16485,1.43448,0.00123448,0.00123448,0.00123448
13,575.675,1.1627,1.23007,1.35906,0.62698,0.65018,0.65005,0.40234,1.33461,1.20359,1.46819,0.00121679,0.00121679,0.00121679
14,619.851,1.17341,1.21806,1.35085,0.68075,0.5729,0.65258,0.44076,1.22706,1.15769,1.39424,0.00119911,0.00119911,0.00119911
15,663.929,1.14917,1.21038,1.3506,0.60279,0.65836,0.64642,0.42077,1.32064,1.19849,1.46025,0.00118143,0.00118143,0.00118143
16,708.257,1.16528,1.19304,1.34211,0.6356,0.60314,0.64289,0.43043,1.24569,1.15855,1.39689,0.00116374,0.00116374,0.00116374
17,752.555,1.12797,1.17221,1.33033,0.63646,0.62369,0.67217,0.44515,1.25086,1.16738,1.39803,0.00114606,0.00114606,0.00114606
18,796.769,1.12448,1.16985,1.33302,0.661,0.61097,0.66656,0.44721,1.23624,1.10467,1.41705,0.00112837,0.00112837,0.00112837
19,840.55,1.11384,1.14401,1.32459,0.61148,0.61113,0.63148,0.41545,1.23482,1.21044,1.41764,0.00111069,0.00111069,0.00111069
20,884.049,1.11567,1.13683,1.32762,0.64379,0.66736,0.67038,0.44184,1.23961,1.11591,1.43324,0.00109301,0.00109301,0.00109301
21,927.651,1.09905,1.11317,1.31511,0.66424,0.61623,0.67561,0.45008,1.24108,1.10844,1.40776,0.00107532,0.00107532,0.00107532
22,971.207,1.09194,1.11696,1.30931,0.58342,0.64495,0.64688,0.43834,1.22304,1.13057,1.40768,0.00105764,0.00105764,0.00105764
23,1014.67,1.09102,1.11135,1.31723,0.6469,0.66022,0.67317,0.45195,1.22615,1.0852,1.39207,0.00103995,0.00103995,0.00103995
24,1058.32,1.09418,1.09238,1.31371,0.61222,0.65503,0.64469,0.43038,1.25025,1.13507,1.43017,0.00102227,0.00102227,0.00102227
25,1101.96,1.09489,1.08855,1.31371,0.63686,0.6434,0.64682,0.43829,1.23559,1.11306,1.40928,0.00100459,0.00100459,0.00100459
26,1145.9,1.08008,1.0752,1.31085,0.63582,0.68159,0.69174,0.45566,1.28043,1.07379,1.42821,0.000986903,0.000986903,0.000986903
27,1189.6,1.07748,1.0711,1.30335,0.65824,0.62517,0.65545,0.44268,1.22869,1.0622,1.42414,0.000969219,0.000969219,0.000969219
28,1233.22,1.07465,1.04919,1.29646,0.65316,0.623,0.63482,0.4197,1.22716,1.14978,1.4114,0.000951535,0.000951535,0.000951535
29,1276.82,1.05429,1.043,1.28957,0.71508,0.62517,0.70057,0.47654,1.22094,1.03085,1.43077,0.000933851,0.000933851,0.000933851
30,1320.46,1.05521,1.0279,1.27932,0.6339,0.6187,0.66556,0.45564,1.22223,1.085,1.3943,0.000916168,0.000916168,0.000916168
31,1363.99,1.05634,1.01725,1.29219,0.62798,0.63066,0.65052,0.42945,1.26297,1.08506,1.46241,0.000898484,0.000898484,0.000898484
32,1407.55,1.04556,1.01833,1.28585,0.65433,0.61443,0.66051,0.44743,1.22761,1.09904,1.43017,0.0008808,0.0008808,0.0008808
33,1451.01,1.04996,0.98827,1.28492,0.64994,0.65233,0.66772,0.45374,1.23221,1.07096,1.4279,0.000863116,0.000863116,0.000863116
34,1494.49,1.03635,0.97684,1.2796,0.63883,0.66752,0.66391,0.45224,1.23222,1.06633,1.41239,0.000845432,0.000845432,0.000845432
35,1538.04,1.0457,0.97494,1.27847,0.7071,0.59762,0.66631,0.45612,1.22848,1.08751,1.42964,0.000827748,0.000827748,0.000827748
36,1581.55,1.02593,0.96777,1.26596,0.60036,0.66913,0.64006,0.43708,1.22283,1.08847,1.42527,0.000810064,0.000810064,0.000810064
37,1624.91,1.01811,0.96367,1.27043,0.58914,0.65494,0.63795,0.43306,1.23741,1.07141,1.41924,0.00079238,0.00079238,0.00079238
38,1668.42,1.01986,0.93092,1.26493,0.65884,0.62379,0.65699,0.44354,1.22945,1.06038,1.41466,0.000774697,0.000774697,0.000774697
39,1711.91,1.02243,0.94628,1.26816,0.63447,0.6354,0.6421,0.42724,1.25429,1.09941,1.44411,0.000757013,0.000757013,0.000757013
40,1755.41,1.00453,0.92407,1.26201,0.6656,0.64013,0.66277,0.44738,1.25299,1.08078,1.42742,0.000739329,0.000739329,0.000739329
41,1798.71,1.00622,0.92072,1.25373,0.60389,0.63188,0.64447,0.42935,1.274,1.0896,1.46383,0.000721645,0.000721645,0.000721645
