epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.3692,1.34603,1.79609,1.51323,0.47426,0.46154,0.41034,0.19534,1.65639,2.06137,1.86115,0.000474235,0.000474235,0.000474235
2,149.389,1.35355,1.58054,1.49576,0.48912,0.56636,0.52796,0.30803,1.47011,1.63528,1.65373,0.000938805,0.000938805,0.000938805
3,221.933,1.34706,1.53623,1.50535,0.50501,0.55574,0.4912,0.3101,1.37741,1.81106,1.57061,0.00139159,0.00139159,0.00139159
4,294.316,1.33827,1.48858,1.48459,0.44534,0.49194,0.46566,0.27987,1.39563,1.53428,1.56854,0.00137595,0.00137595,0.00137595
5,366.336,1.27986,1.40735,1.43574,0.61538,0.60405,0.61752,0.36073,1.4822,1.29455,1.57453,0.00135826,0.00135826,0.00135826
6,438.449,1.27571,1.39439,1.44309,0.36392,0.54705,0.45505,0.27747,1.4185,1.82647,1.56438,0.00134058,0.00134058,0.00134058
7,510.401,1.25595,1.3554,1.4253,0.61117,0.59406,0.61715,0.39165,1.40331,1.19508,1.50435,0.0013229,0.0013229,0.0013229
8,582.736,1.22509,1.31341,1.40207,0.49992,0.57905,0.53499,0.34542,1.29355,1.46007,1.45787,0.00130521,0.00130521,0.00130521
9,655.059,1.22733,1.27442,1.4013,0.60295,0.59429,0.62559,0.41066,1.28495,1.19947,1.44691,0.00128753,0.00128753,0.00128753
10,726.905,1.20981,1.28041,1.39306,0.5876,0.5962,0.60382,0.38931,1.29807,1.29144,1.48306,0.00126985,0.00126985,0.00126985
11,798.041,1.19511,1.28134,1.38362,0.69401,0.55761,0.65514,0.42858,1.27785,1.18277,1.45357,0.00125216,0.00125216,0.00125216
12,869.371,1.18848,1.24545,1.37922,0.66382,0.62694,0.66011,0.44307,1.24842,1.107,1.43991,0.00123448,0.00123448,0.00123448
13,940.709,1.16319,1.21643,1.37019,0.65103,0.62133,0.67436,0.43937,1.30336,1.1369,1.46968,0.00121679,0.00121679,0.00121679
14,1011.63,1.16993,1.20079,1.36094,0.59248,0.61704,0.63396,0.42957,1.21753,1.15316,1.40415,0.00119911,0.00119911,0.00119911
15,1082.98,1.14669,1.19353,1.35485,0.59077,0.67055,0.63054,0.41547,1.26503,1.17358,1.44827,0.00118143,0.00118143,0.00118143
16,1155.57,1.1535,1.17311,1.34606,0.63788,0.63123,0.65931,0.42799,1.27263,1.12822,1.42676,0.00116374,0.00116374,0.00116374
17,1227.81,1.12966,1.1491,1.34433,0.6023,0.66704,0.68311,0.45773,1.22599,1.09856,1.40633,0.00114606,0.00114606,0.00114606
18,1300.52,1.11792,1.15273,1.34089,0.64761,0.66562,0.67751,0.45555,1.21493,1.07606,1.41373,0.00112837,0.00112837,0.00112837
19,1373,1.09995,1.11611,1.32316,0.60807,0.66485,0.65221,0.44016,1.22112,1.11155,1.42377,0.00111069,0.00111069,0.00111069
20,1445.57,1.1007,1.11637,1.32804,0.64366,0.63764,0.65595,0.44916,1.21671,1.04909,1.44385,0.00109301,0.00109301,0.00109301
21,1518.13,1.08535,1.08657,1.31693,0.65269,0.62018,0.68362,0.45857,1.21839,1.04701,1.40717,0.00107532,0.00107532,0.00107532
22,1590.77,1.08479,1.09341,1.31534,0.6544,0.62144,0.66259,0.4494,1.23056,1.0701,1.42233,0.00105764,0.00105764,0.00105764
23,1663.2,1.07983,1.0786,1.31566,0.63529,0.65222,0.66887,0.44938,1.23786,1.05955,1.4213,0.00103995,0.00103995,0.00103995
24,1735.6,1.07787,1.06221,1.30798,0.65083,0.63762,0.65373,0.43818,1.24037,1.06846,1.43137,0.00102227,0.00102227,0.00102227
25,1808.02,1.07877,1.05226,1.30932,0.66038,0.62879,0.66116,0.44434,1.20659,1.07835,1.4088,0.00100459,0.00100459,0.00100459
26,1880.52,1.06259,1.04496,1.30373,0.63178,0.67847,0.69082,0.4629,1.22963,1.02351,1.39989,0.000986903,0.000986903,0.000986903
27,1953.11,1.05435,1.03847,1.29498,0.65529,0.65326,0.66671,0.44773,1.21388,1.013,1.42453,0.000969219,0.000969219,0.000969219
28,2025.65,1.05973,1.01313,1.29183,0.65387,0.63834,0.6563,0.44738,1.21436,1.02826,1.40512,0.000951535,0.000951535,0.000951535
29,2097.99,1.03654,0.99591,1.28602,0.68263,0.66084,0.71091,0.48345,1.21166,1.01228,1.42782,0.000933851,0.000933851,0.000933851
30,2169.85,1.03232,0.99302,1.27293,0.58033,0.6357,0.64539,0.43483,1.23047,1.0954,1.41311,0.000916168,0.000916168,0.000916168
31,2241.76,1.03511,0.9853,1.28079,0.66619,0.6119,0.66045,0.4351,1.25614,1.07243,1.47363,0.000898484,0.000898484,0.000898484
32,2314,1.02252,0.98605,1.28097,0.60884,0.6422,0.64062,0.43419,1.23717,1.06951,1.43362,0.0008808,0.0008808,0.0008808
33,2385.68,1.02234,0.96256,1.27306,0.62447,0.64018,0.66659,0.4436,1.22842,1.02682,1.44031,0.000863116,0.000863116,0.000863116
34,2457.91,1.00942,0.94121,1.26661,0.6169,0.6537,0.66967,0.45088,1.24078,1.03637,1.43339,0.000845432,0.000845432,0.000845432
35,2530.4,1.01623,0.93102,1.27015,0.64603,0.65873,0.66797,0.44932,1.23291,1.0597,1.44341,0.000827748,0.000827748,0.000827748
36,2602.48,1.00184,0.92719,1.26085,0.59849,0.6695,0.65216,0.4418,1.22212,1.01352,1.46034,0.000810064,0.000810064,0.000810064
37,2673.59,0.98733,0.92144,1.26048,0.59789,0.63873,0.62659,0.42075,1.23331,1.08264,1.4528,0.00079238,0.00079238,0.00079238
38,2744.74,0.98729,0.88829,1.25274,0.65499,0.594,0.64489,0.4356,1.24833,1.06898,1.45066,0.000774697,0.000774697,0.000774697
39,2815.62,0.9832,0.89417,1.25308,0.61615,0.63092,0.62242,0.41379,1.2407,1.08873,1.46887,0.000757013,0.000757013,0.000757013
40,2886.46,0.96874,0.88155,1.24848,0.63124,0.65577,0.66329,0.44821,1.26241,1.10954,1.46408,0.000739329,0.000739329,0.000739329
41,2957.15,0.97163,0.87028,1.24278,0.5844,0.6513,0.64838,0.43182,1.26712,1.07804,1.46643,0.000721645,0.000721645,0.000721645
42,3027.88,0.9611,0.84726,1.23866,0.66555,0.62892,0.66864,0.44602,1.2644,1.04694,1.46313,0.000703961,0.000703961,0.000703961
43,3098.64,0.96531,0.8528,1.23761,0.58516,0.66873,0.65128,0.44008,1.25456,1.07964,1.47533,0.000686277,0.000686277,0.000686277
44,3169.27,0.95706,0.83658,1.23479,0.60421,0.60459,0.60178,0.41055,1.25126,1.10913,1.49706,0.000668593,0.000668593,0.000668593
45,3239.85,0.93539,0.82569,1.2233,0.67297,0.62394,0.66962,0.45173,1.23964,1.01049,1.4907,0.000650909,0.000650909,0.000650909
46,3310.5,0.94145,0.80866,1.22472,0.58617,0.66757,0.65181,0.43491,1.27777,1.06243,1.49314,0.000633226,0.000633226,0.000633226
47,3381.17,0.92887,0.803,1.21355,0.62375,0.63857,0.65245,0.44485,1.26528,1.06018,1.47771,0.000615542,0.000615542,0.000615542
48,3451.99,0.92668,0.77542,1.21313,0.67473,0.57467,0.61976,0.4155,1.30879,1.10842,1.51296,0.000597858,0.000597858,0.000597858
49,3522.7,0.91158,0.76944,1.19957,0.62447,0.63745,0.64689,0.42858,1.28596,1.06847,1.51096,0.000580174,0.000580174,0.000580174
50,3593.34,0.91952,0.78552,1.2084,0.64423,0.62283,0.63359,0.42808,1.25925,1.11346,1.50451,0.00056249,0.00056249,0.00056249
51,3663.82,0.89546,0.75268,1.19633,0.61887,0.5985,0.61475,0.41841,1.28952,1.12676,1.50513,0.000544806,0.000544806,0.000544806
52,3734.36,0.89267,0.74337,1.19684,0.60026,0.63894,0.63817,0.42594,1.27928,1.09398,1.50164,0.000527122,0.000527122,0.000527122
53,3804.84,0.90762,0.74638,1.20136,0.64171,0.6344,0.64716,0.43804,1.27278,1.07984,1.51886,0.000509438,0.000509438,0.000509438
